index,Song,Artist,Gender,Album,Date,URL,Profanities
0,TYWIG,KALI UCHIS,M,Drunken Babble (Mixtape),, http://ohhla.com/anonymous/kaluchis/drunken/TYWIG.kal.txt,{}
1,ChimiChanga,KALI UCHIS,M,Drunken Babble (Mixtape),, http://ohhla.com/anonymous/kaluchis/drunken/chimi.kal.txt,{}
2,Good to You,KALI UCHIS,M,Drunken Babble (Mixtape),, http://ohhla.com/anonymous/kaluchis/drunken/good_you.kal.txt,{'fight': 2}
3,Just Wanna Say,KALI UCHIS,M,Drunken Babble (Mixtape),, http://ohhla.com/anonymous/kaluchis/drunken/jstwanna.kal.txt,"{'bitch': 3, 'shit': 6}"
4,Never Be Yours,KALI UCHIS,M,Drunken Babble (Mixtape),, http://ohhla.com/anonymous/kaluchis/drunken/never_be.kal.txt,"{'backseat': 1, 'ass': 1}"
5,Table For Two,KALI UCHIS,M,Drunken Babble (Mixtape),, http://ohhla.com/anonymous/kaluchis/drunken/tablefor.kal.txt,"{'idiot': 1, 'damn': 1, 'babe': 1}"
6,Three Pills,KALI UCHIS,M,Drunken Babble (Mixtape),, http://ohhla.com/anonymous/kaluchis/drunken/threepil.kal.txt,{}
7,What They Say,KALI UCHIS,M,Drunken Babble (Mixtape),, http://ohhla.com/anonymous/kaluchis/drunken/what_say.kal.txt,{}
8,Call Me,KALI UCHIS,M,Por Vida (EP),, http://ohhla.com/anonymous/kaluchis/por_vida/call_me.kal.txt,{}
9,Know What I Want,KALI UCHIS,M,Por Vida (EP),, http://ohhla.com/anonymous/kaluchis/por_vida/knowwhat.kal.txt,{'ass': 1}
10,Loner,KALI UCHIS,M,Por Vida (EP),, http://ohhla.com/anonymous/kaluchis/por_vida/loner.kal.txt,{'cigarette': 2}
11,Lottery,KALI UCHIS,M,Por Vida (EP),, http://ohhla.com/anonymous/kaluchis/por_vida/lottery.kal.txt,{'blind': 1}
12,Melting,KALI UCHIS,M,Por Vida (EP),, http://ohhla.com/anonymous/kaluchis/por_vida/melting.kal.txt,"{'whites': 1, 'dead': 1}"
13,Ridin' 'Round,KALI UCHIS,M,Por Vida (EP),, http://ohhla.com/anonymous/kaluchis/por_vida/ridinrnd.kal.txt,"{'fuck': 2, 'shit': 1, 'hustler': 1}"
14,Rush,KALI UCHIS,M,Por Vida (EP),, http://ohhla.com/anonymous/kaluchis/por_vida/rush.kal.txt,{'fight': 2}
15,Speed,KALI UCHIS,M,Por Vida (EP),, http://ohhla.com/anonymous/kaluchis/por_vida/speed.kal.txt,{'crash': 2}
16,Sycamore Tree,KALI UCHIS,M,Por Vida (EP),, http://ohhla.com/anonymous/kaluchis/por_vida/sycamore.kal.txt,{'damn': 1}
17,All or Nothing,KALI UCHIS,M,All or Nothing (S),, http://ohhla.com/anonymous/kaluchis/rm_bside/allornot.kal.txt,{'shit': 1}
18,On Edge,KALI UCHIS,M,On Edge (S),, http://ohhla.com/anonymous/kaluchis/rm_bside/on_edge.kal.txt,{}
19,Only Girl,KALI UCHIS,M,Only Girl (S),, http://ohhla.com/anonymous/kaluchis/rm_bside/onlygirl.kal.txt,"{'blow': 5, 'bitches': 1}"
20,Pablo Escobar,KALI UCHIS,M,Pablo Escobar (S),, http://ohhla.com/anonymous/kaluchis/rm_bside/pablo.kal.txt,{'drug': 1}
21,Real,KALI UCHIS,M,Real (S),, http://ohhla.com/anonymous/kaluchis/rm_bside/real.kal.txt,{'fucked': 1}
22,Something Good *,UGK,M,The Southern Way,, http://ohhla.com/anonymous/ugk/southern/somegood.ugk.txt,"{'motherfuckin': 3, 'dick': 1, 'ass': 11, 'bitch': 3, 'pussy': 2, 'semen': 1, 'motherfucker': 1, 'fuckin': 5, 'dead': 1, 'fuck': 4, 'knife': 1, 'gun': 2, 'fight': 1, 'skank': 1, 'disease': 1, 'fucked': 2, 'doggystyle': 1, 'booty': 1, 'shit': 2, 'niggaz': 1, 'hookers': 1, 'nigga': 2}"
23,Use Me Up,U.G.K.,M,The Southern Way,, http://ohhla.com/anonymous/ugk/southern/usemeup.ugk.txt,"{'niggaz': 1, 'vagina': 1, 'pussy': 4, 'dick': 3, 'suck': 1, 'fuck': 2, 'bitch': 2, 'fucked': 2, 'ass': 2, 'nigga': 2, 'girls': 1, 'shit': 2, 'hole': 1, 'sex': 1}"
24,Pregnant Pussy,U.G.K. (UNDERGROUND KINGZ),M,Banned,, http://ohhla.com/anonymous/ugk/banned/pregnant.ugk.txt,"{'pussy': 11, 'bitch': 6, 'fat': 2, 'babies': 2, 'shit': 2, 'black': 1, 'dick': 4, 'fucked': 1, 'whore': 2, 'fuck': 2, 'ass': 2, 'kid': 2, 'hole': 1, 'titties': 1, 'pussies': 1, 'fucking': 2, 'dickhead': 1, 'nipple': 1, 'bullshit': 1}"
25,Pusi Mental,U.G.K. (UNDERGROUND KINGZ),M,Banned,, http://ohhla.com/anonymous/ugk/banned/p_mental.ugk.txt,"{'bitch': 20, 'fat': 4, 'pussy': 2}"
26,Muthafucker Ain't Mine,U.G.K. (UNDERGROUND KINGZ),M,Banned,, http://ohhla.com/anonymous/ugk/banned/aintmine.ugk.txt,"{'whore': 6, 'motherfucking': 4, 'nigga': 4, 'babies': 1, 'niggaz': 3, 'fuck': 3, 'motherfuck': 2, 'welfare': 2, 'bullshit': 2, 'fucked': 2, 'dead': 2, 'ass': 12, 'bitch': 6, 'shit': 5, 'fucking': 8, 'rape': 2, 'dick': 2, 'motherfucker': 3, 'sperm': 1, 'naked': 1, 'dirty': 1, 'mad': 1, 'pussy': 2}"
27,Muthafucker Ain't Mine (Instrumental),U.G.K. (UNDERGROUND KINGZ),M,Banned,, http://ohhla.com/anonymous/ugk/banned/instrume.ugk.txt,{'nigga': 18}
28,Use Me Up,UGK,M,Too Hard to Swallow,, http://ohhla.com/anonymous/ugk/too_hard/usemeup.ugk.txt,"{'butt': 1, 'pimped': 1, 'girls': 1, 'pimp': 1, 'sex': 1}"
29,Pocket Full of Stones *,U.G.K. (UNDERGROUND KINGZ),M,Too Hard to Swallow,, http://ohhla.com/anonymous/ugk/too_hard/pocket.ugk.txt,"{'ass': 7, 'crack': 5, 'fat': 3, 'fuckin': 2, 'suck': 2, 'dick': 2, 'dope': 2, 'lotion': 1, 'fuck': 3, 'niggaz': 2, 'shit': 2, 'nigga': 2, 'murder': 1}"
30,Short Texas,U.G.K. (UNDERGROUND KINGZ),M,Too Hard to Swallow,, http://ohhla.com/anonymous/ugk/too_hard/sh_texas.ugk.txt,"{'ass': 6, 'fuckin': 6, 'shit': 8, 'dope': 8, 'bitch': 3, 'nigga': 6, 'fat': 1, 'blow': 1, 'drug': 2, 'bitches': 1, 'dirty': 1, 'dead': 1, 'fuck': 1, 'dick': 1, 'ho': 1}"
31,Cocaine in the Back of the Ride,U.G.K. (UNDERGROUND KINGZ),M,Too Hard to Swallow,, http://ohhla.com/anonymous/ugk/too_hard/cocaine.ugk.txt,"{'fuck': 5, 'nigga': 4, 'fuckin': 4, 'dope': 3, 'ho': 2, 'bitch': 5, 'motherfucker': 3, 'pussy': 3, 'bitches': 1, 'god': 5, 'damn': 5, 'dick': 4, 'suck': 1, 'shit': 2, 'sucker': 1, 'dead': 1, 'shoot': 1, 'titty': 1, 'niggaz': 2, 'cocaine': 3, 'fat': 1, 'ass': 1, 'knife': 1, 'chink': 1, 'disease': 1, 'hoes': 1, 'black': 1}"
32,It's Too Hard to Swallow,U.G.K. (UNDERGROUND KINGZ),M,Too Hard to Swallow,, http://ohhla.com/anonymous/ugk/too_hard/its_too.ugk.txt,"{'kill': 1, 'nigga': 11, 'remains': 1, 'smack': 1, 'fight': 1, 'sex': 1, 'motherfucking': 9, 'shit': 3, 'swallow': 3, 'asses': 1, 'ass': 2, 'damn': 1, 'fuck': 3, 'mad': 2, 'kid': 1, 'niggaz': 3, 'bitches': 1, 'whore': 1}"
33,Crampin My Style,U.G.K. (UNDERGROUND KINGZ),M,Too Hard to Swallow,, http://ohhla.com/anonymous/ugk/too_hard/crampin.ugk.txt,"{'sick': 1, 'shit': 1, 'cigarette': 1, 'joint': 1}"
34,Feel Like I'm the One Who's Doing Dope,UGK,M,Too Hard to Swallow,, http://ohhla.com/anonymous/ugk/too_hard/feellike.ugk.txt,"{'bitch': 8, 'dope': 3, 'kill': 2, 'shit': 5, 'crack': 1, 'nigga': 2, 'dead': 2, 'fucked': 1, 'pistol': 1, 'pussy': 2, 'dick': 2, 'knife': 2, 'fucking': 2, 'motherfuckin': 1, 'damn': 1, 'fuck': 1, 'killed': 1, 'gun': 1}"
35,I'm So Bad,U.G.K. (UNDERGROUND KINGZ),M,Too Hard to Swallow,, http://ohhla.com/anonymous/ugk/too_hard/imsobad.ugk.txt,"{'hook': 1, 'nigga': 4, 'dick': 18, 'suck': 21, 'motherfuckin': 4, 'pussy': 2, 'shit': 5, 'ho': 4, 'ass': 7, 'dirty': 1, 'fuckin': 1, 'bitch': 3, 'fuck': 2}"
36,Trill Ass Nigga,U.G.K. (UNDERGROUND KINGZ),M,Too Hard to Swallow,, http://ohhla.com/anonymous/ugk/too_hard/trillass.ugk.txt,"{'hoes': 3, 'niggaz': 6, 'dick': 2, 'fuckin': 6, 'dope': 2, 'shit': 6, 'bitch': 4, 'ass': 39, 'fat': 1, 'damn': 2, 'nigga': 6, 'black': 1, 'fuck': 1, 'motherfuckin': 3, 'gun': 1, 'ho': 4, 'dead': 1, 'fucked': 1, 'coon': 1, 'boom': 1}"
37,976-Bun B,U.G.K. (UNDERGROUND KINGZ),M,Too Hard to Swallow,, http://ohhla.com/anonymous/ugk/too_hard/976_bunb.ugk.txt,"{'shit': 6, 'niggaz': 2, 'fat': 2, 'dick': 4, 'hoes': 3, 'motherfuckin': 2, 'nigga': 1, 'bitch': 1, 'pussy': 4, 'dope': 1, 'ass': 2, 'bitches': 1, 'suck': 1}"
38,Something Good (Pimp C's Remix),U.G.K. (UNDERGROUND KINGZ),M,Too Hard to Swallow,, http://ohhla.com/anonymous/ugk/too_hard/pimpcrmx.ugk.txt,"{'disease': 1, 'fight': 1, 'ass': 1, 'tramp': 1, 'booty': 1, 'nasty': 1, 'pistol': 1}"
39,Underground,UGK,M,Super Tight...,, http://ohhla.com/anonymous/ugk/sprtight/undergro.ugk.txt,"{'damn': 2, 'niggaz': 8, 'ass': 5, 'dead': 2, 'motherfucker': 1, 'panties': 1, 'nigga': 28, 'pissed': 1, 'fucked': 1, 'fuck': 1, 'hoes': 1, 'die': 1, 'fuckin': 1, 'bigger': 1, 'shit': 1, 'goddamn': 1, 'bitches': 1, 'suck': 1, 'dick': 1}"
40,It's Supposed to Bubble,U.G.K.,M,Super Tight,, http://ohhla.com/anonymous/ugk/sprtight/tobubble.ugk.txt,"{'niggaz': 2, 'hoes': 1, 'ho': 1, 'fat': 2, 'fuck': 1, 'god': 1, 'damn': 1, 'nigga': 3, 'crack': 1, 'bitch': 1}"
41,I Left it Wet for You,U.G.K.,M,Supertight,, http://ohhla.com/anonymous/ugk/sprtight/left_wet.ugk.txt,"{'nigga': 22, 'shit': 3, 'fucking': 11, 'dick': 2, 'fight': 1, 'fire': 2, 'pistol': 4, 'blow': 1, 'shits': 1, 'bitch': 4, 'fat': 1, 'liquor': 1, 'suicide': 1, 'niggaz': 3, 'bomb': 1, 'ass': 1}"
42,Feds in Town,UNDERGROUND KINGZ (UGK),M,Supertight,, http://ohhla.com/anonymous/ugk/sprtight/fedstown.ugk.txt,"{'niggaz': 5, 'bitch': 2, 'dick': 1, 'drug': 1, 'fuckin': 2, 'shit': 5, 'fuck': 1, 'motherfuckin': 3, 'balls': 1, 'ass': 3, 'hoes': 2, 'black': 1, 'motherfucker': 1, 'nigga': 1, 'damn': 2, 'sick': 1, 'blind': 1, 'crack': 1, 'fight': 1, 'die': 1}"
43,"Front, Back & Side to Side",U.G.K.,M,Super Tight/A Low Down Dirty Shame soundtrack,, http://ohhla.com/anonymous/ugk/sprtight/frontbck.ugk.txt,"{'pimp': 2, 'booty': 1, 'fat': 2, 'gun': 1, 'gangsta': 1, 'hell': 1}"
44,Stoned Junkee,UGK,M,Super Tight...,, http://ohhla.com/anonymous/ugk/sprtight/stoned_j.ugk.txt,"{'crack': 1, 'fucked': 3, 'fuck': 2, 'fucks': 1, 'shit': 1, 'dick': 2, 'dope': 1, 'sucker': 1, 'motherfucker': 2, 'goddamn': 1, 'toilet': 1}"
45,Three Sixteens,UGK,M,Super Tight,, http://ohhla.com/anonymous/ugk/sprtight/3sixteen.ugk.txt,"{'bitch': 2, 'shit': 7, 'fight': 1, 'ass': 12, 'nigga': 5, 'bigger': 1, 'ho': 1, 'hoes': 1, 'fuck': 1}"
46,Song:  One Day, U.G.K. F/3-2 AND RON ISLEY,M,Ridin' Dirty,, http://ohhla.com/anonymous/ugk/ridin/one_day.ugk.txt,"{'crack': 2, 'cocaine': 1, 'nigga': 2, 'die': 2, 'bombers': 1, 'died': 2, 'fuck': 1, 'devil': 1, 'damn': 1, 'shit': 1, 'fuckin': 1, 'bitches': 1, 'bitch': 1, 'fire': 1}"
47,Murder,UNDERGROUND KINGZ {U.G.K.},M,Ridin' Dirty,, http://ohhla.com/anonymous/ugk/ridin/murder.ugk.txt,"{'bitch': 3, 'fuck': 3, 'shit': 4, 'nigga': 6, 'cocaine': 1, 'bitches': 2, 'damn': 1, 'dick': 2, 'sick': 1, 'liquor': 1, 'pussy': 1, 'murder': 1, 'geez': 1, 'hook': 1, 'gun': 1}"
