index,Song,Artist,Gender,Album,Date,URL,Profanities
41,Afrika,FABABY,M,Afrika (S),, http://ohhla.com/anonymous/fababy/rm_bside/afrika.fab.txt,{}
42,Allo (Remix),FABABY,M,Allo (S),, http://ohhla.com/anonymous/fababy/rm_bside/allo_rmx.fab.txt,{'negro': 2}
43,Autopsie 4,FABABY,M,Autopsie 4 (S),, http://ohhla.com/anonymous/fababy/rm_bside/autopsy4.fab.txt,"{'violence': 3, 'fuck': 1, 'black': 1}"
44,Avec Le Coeur,FABABY,M,Avec Le Coeur (S),, http://ohhla.com/anonymous/fababy/rm_bside/avec_le.fab.txt,"{'muslim': 1, 'sodomise': 1, 'tard': 1, 'violence': 1}"
45,Avec Le Seum,FABABY,M,Avec Le Seum (S),, http://ohhla.com/anonymous/fababy/rm_bside/avecseum.fab.txt,{}
46,C'est Fini,FABABY,M,C'est Fini (S),, http://ohhla.com/anonymous/fababy/rm_bside/cestfini.fab.txt,{'violence': 1}
47,Comme D'habitude,FABABY,M,Comme D'habitude (S),, http://ohhla.com/anonymous/fababy/rm_bside/commedhb.fab.txt,{'alla': 1}
48,Cours,FABABY,M,Cours (S),, http://ohhla.com/anonymous/fababy/rm_bside/cours.fab.txt,{}
49,Dans Mon 93,FABABY,M,Dans Mon 93 (S),, http://ohhla.com/anonymous/fababy/rm_bside/dansmn93.fab.txt,{'gun': 1}
50,Et Si C'etait Symphonie,FABABY,M,Et Si C'etait Symphonie (S),, http://ohhla.com/anonymous/fababy/rm_bside/et_symph.fab.txt,"{'gangsta': 1, 'demon': 1}"
51,Fatigue,FABABY,M,Fatigue (S),, http://ohhla.com/anonymous/fababy/rm_bside/fatigue.fab.txt,{}
52,Freestyle Saint-Valentin,FABABY,M,Freestyle Saint-Valentin (S),, http://ohhla.com/anonymous/fababy/rm_bside/free_s-v.fab.txt,"{'negro': 1, 'gun': 1, 'pisser': 1}"
53,Freestyle Booska Boss,FABABY,M,Freestyle Booska Boss (S),, http://ohhla.com/anonymous/fababy/rm_bside/freeboss.fab.txt,"{'violence': 1, 'dead': 1}"
54,Je Pense a Nous,FABABY,M,Je Pense a Nous (S),, http://ohhla.com/anonymous/fababy/rm_bside/je_pense.fab.txt,{'abuse': 1}
55,Je Prefere Mourir,FABABY,M,Je Prefere Mourir (S),, http://ohhla.com/anonymous/fababy/rm_bside/je_prefe.fab.txt,"{'torture': 1, 'nazi': 1, 'black': 2, 'violence': 1}"
56,Kaira,FABABY,M,Kaira (S),, http://ohhla.com/anonymous/fababy/rm_bside/kaira.fab.txt,{'tard': 1}
57,Nekama (Live Des Studios De Generations),FABABY,M,Nekama (S),, http://ohhla.com/anonymous/fababy/rm_bside/nekamalv.fab.txt,"{'violence': 1, 'sniper': 1}"
58,C'est Pas Grave,FABABY,M,C'est Pas Grave (S),, http://ohhla.com/anonymous/fababy/rm_bside/pasgrave.fab.txt,{}
59,Physio,FABABY,M,Physio (S),, http://ohhla.com/anonymous/fababy/rm_bside/physio.fab.txt,{}
60,Keepin' it Gangsta,FABOLOUS,M,Ghetto Fabolous,, http://ohhla.com/anonymous/fabolous/ghetto_f/keepinit.fab.txt,"{'gangsta': 3, 'nigga': 1, 'kid': 1, 'fuck': 1, 'crack': 2, 'sex': 1, 'niggaz': 1, 'spit': 1}"
61,Young'n,FABOLOUS,M,Ghetto Fabolous,, http://ohhla.com/anonymous/fabolous/ghetto_f/young_n.fab.txt,"{'hookers': 1, 'hoes': 2, 'kid': 1}"
62,Get Right,FABOLOUS,M,Ghetto Fabolous,, http://ohhla.com/anonymous/fabolous/ghetto_f/getright.fab.txt,"{'vagina': 1, 'tits': 2, 'nigga': 1, 'kid': 1}"
63,Ride For This,FABOLOUS,M,Ghetto Fabolous,, http://ohhla.com/anonymous/fabolous/ghetto_f/ride_for.fab.txt,"{'kill': 1, 'ho': 1, 'nigga': 3, 'blow': 1, 'shoot': 1, 'die': 2, 'cocaine': 1}"
64,One Day,FABOLOUS    ,M,Ghetto Fabolous,, http://ohhla.com/anonymous/fabolous/ghetto_f/one_day.fab.txt,"{'cocaine': 1, 'shit': 1, 'fuck': 1, 'girls': 1, 'hoes': 1, 'crack': 1}"
65,Trade it All,FABOLOUS,M,Ghetto Fabulous,, http://ohhla.com/anonymous/fabolous/ghetto_f/trade_it.fab.txt,"{'whore': 1, 'titties': 1, 'nigga': 1}"
66,Right Now & Later On,FABOLOUS,M,Ghetto Fabolous,, http://ohhla.com/anonymous/fabolous/ghetto_f/rightnow.fab.txt,"{'kid': 1, 'blow': 1, 'color': 1, 'damnit': 1, 'crack': 1, 'bitches': 1}"
67,Take You Home,FABOLOUS,M,Ghetto Fabolous,, http://ohhla.com/anonymous/fabolous/ghetto_f/take_you.fab.txt,"{'nigga': 1, 'fuckin': 1, 'hell': 1, 'smack': 1, 'tongue': 1}"
68,Song:  Get Smart,ARTIT: FABOLOUS,M,Album: Ghetto Fabolous,, http://ohhla.com/anonymous/fabolous/ghetto_f/getsmart.fab.txt,"{'penis': 1, 'bitches': 2, 'dick': 2, 'girls': 1, 'suck': 3, 'kid': 1, 'hoes': 2, 'die': 1, 'blow': 1}"
69,Can't Deny It,FABOLOUS,M,Ghetto Fabolous,, http://ohhla.com/anonymous/fabolous/ghetto_f/cantdeny.fab.txt,"{'fuckin': 2, 'fuck': 3, 'niggaz': 1, 'spit': 1, 'bitches': 1, 'hoes': 1, 'motherfucker': 1, 'nigga': 1, 'die': 1, 'fucked': 1, 'butt': 1, 'drunk': 1, 'fat': 1, 'bitch': 1, 'kid': 2, 'liquor': 1}"
70,Ma' Be Easy,FABOLOUS,M,Ghetto Fabolous,, http://ohhla.com/anonymous/fabolous/ghetto_f/mabeeasy.fab.txt,"{'liquor': 1, 'sick': 1, 'kid': 1, 'chink': 1}"
71,We Don't Give A,FABOLOUS,M,Ghetto Fabolous,, http://ohhla.com/anonymous/fabolous/ghetto_f/we_dont.fab.txt,"{'nigga': 3, 'kid': 1, 'dead': 1, 'cancer': 1, 'die': 2, 'marijuana': 1, 'niggaz': 1, 'bullshit': 1, 'girls': 1, 'fuck': 1}"
72,The Bad Guy,FABOLOUS,M,Ghetto Fabolous,, http://ohhla.com/anonymous/fabolous/ghetto_f/bad_guy.fab.txt,"{'fucking': 4, 'assholes': 1, 'joint': 1, 'butt': 1, 'slut': 1, 'bitches': 1, 'kid': 1, 'fuck': 2}"
73,Gotta Be Thug (Bonus Track),FABOLOUS,M,Ghetto Fabolous,, http://ohhla.com/anonymous/fabolous/ghetto_f/gotta_be.fab.txt,"{'spit': 1, 'fuck': 1, 'bitch': 1, 'bombs': 1, 'gun': 1}"
74,If They Want It (Bonus Track),FABOLOUS,M,Ghetto Fabolous,, http://ohhla.com/anonymous/fabolous/ghetto_f/want_it.fab.txt,"{'niggaz': 1, 'nigga': 6, 'murder': 1, 'bitches': 2, 'dead': 1, 'shit': 1, 'wop': 1}"
75,Not Give a Fuck,FABOLOUS,M,Street Dreams,, http://ohhla.com/anonymous/fabolous/street/not_give.fab.txt,"{'dope': 1, 'pimp': 2, 'fuck': 4, 'gangsta': 2, 'mad': 1, 'ass': 1, 'die': 1}"
76,Damn,FABOLOUS,M,Street Dreams,, http://ohhla.com/anonymous/fabolous/street/damn.fab.txt,"{'girls': 3, 'damn': 4, 'smut': 1, 'killing': 1, 'swallow': 1, 'liquor': 1, 'color': 1, 'dick': 1, 'fuck': 1, 'nigga': 1}"
77,Call Me,FABOLOUS,M,Street Dreams,, http://ohhla.com/anonymous/fabolous/street/call_me.fab.txt,"{'tongue': 1, 'dick': 1, 'liquor': 1, 'sick': 1, 'disease': 1, 'titties': 1, 'pot': 1, 'kid': 1}"
78,Can't Let You Go,FABOLOUS,M,Street Dreams,, http://ohhla.com/anonymous/fabolous/street/cant_let.fab.txt,"{'gangsta': 1, 'fight': 1, 'cock': 1, 'gun': 1, 'spit': 1, 'dumb': 1, 'kill': 1}"
79,Bad Bitch,FABOLOUS,M,Street Dreams,, http://ohhla.com/anonymous/fabolous/street/badbitch.fab.txt,"{'nigga': 1, 'kill': 1, 'bitch': 4, 'threesome': 1, 'dick': 1, 'damn': 1, 'girls': 3, 'tongue': 1, 'nipple': 1}"
80,Why Wouldn't I,FABOLOUS,M,Street Dreams,, http://ohhla.com/anonymous/fabolous/street/wouldnt.fab.txt,"{'bitches': 1, ""women's"": 1, 'sick': 2, 'nigga': 2, 'damn': 1, 'joint': 2, 'hoes': 1, 'tramp': 1, 'shit': 1}"
81,Up On Things,FABOLOUS,M,Street Dreams,, http://ohhla.com/anonymous/fabolous/street/things.fab.txt,"{'ass': 3, 'knockers': 1, 'kid': 2, 'fuck': 5, 'bitches': 5, 'banging': 1, 'snatch': 1, 'motherfucking': 4}"
82,Sickalicious,FABOLOUS,M,Street Dreams,, http://ohhla.com/anonymous/fabolous/street/sick.fab.txt,"{'fucka': 1, 'blow': 2, 'kid': 1, 'gun': 2, 'hoes': 1, 'shit': 1, 'period': 1, 'sick': 1, 'god': 1}"
83,This is My Party,FABOLOUS,M,Street Dreams,, http://ohhla.com/anonymous/fabolous/street/this_is.fab.txt,"{'laid': 1, 'girls': 1, 'bitches': 1, 'asses': 1, 'hell': 3, 'sick': 1, 'ass': 1, 'hoes': 1}"
84,Into You,FABOLOUS,M,Street Dreams,, http://ohhla.com/anonymous/fabolous/street/into_you.fab.txt,"{'girls': 1, 'dumb': 1}"
85,Change You or Change Me,FABOLOUS,M,Street Dreams,, http://ohhla.com/anonymous/fabolous/street/change.fab.txt,"{'hole': 1, 'girls': 2, 'fuck': 3, 'blind': 1, 'hustler': 1, 'nigga': 2, 'dick': 1, 'shit': 1}"
86,Respect,FABOLOUS,M,Street Dreams,, http://ohhla.com/anonymous/fabolous/street/respect.fab.txt,"{'killer': 1, 'niggaz': 1, 'shit': 1, 'fuckin': 3, 'die': 1, 'joint': 3, 'gun': 3, 'remains': 1, 'kill': 15, 'motherfuckin': 9, 'marijuana': 1, 'fuck': 3, 'nigga': 3, 'enemy': 1, 'god': 1, 'fucker': 1}"
87,Forgive Me Father,FABOLOUS,M,Street Dreams,, http://ohhla.com/anonymous/fabolous/street/forgive.fab.txt,"{'fuck': 2, 'ass': 1, 'nigga': 4, 'dick': 1, 'liquor': 1, 'bullshit': 1, 'kid': 1, 'titty': 1, 'suck': 1, 'harder': 1, 'fire': 1, 'gun': 1, 'hustler': 1, 'bigger': 1, 'piss': 1, 'motherfuckin': 1, 'fuckin': 2}"
88,Never Duplicated,FABOLOUS,M,Street Dreams,, http://ohhla.com/anonymous/fabolous/street/neverdup.fab.txt,"{'dick': 1, 'blow': 1, 'bitch': 1, 'fuckin': 1, 'kid': 1, 'niggaz': 1, 'spit': 1}"
89,My Life,FABOLOUS,M,Street Dreams,, http://ohhla.com/anonymous/fabolous/street/my_life.fab.txt,{'hook': 1}
90,Throw Back (Bonus Track),FABOLOUS,M,Street Dreams,, http://ohhla.com/anonymous/fabolous/street/throwbck.fab.txt,"{'fuck': 1, 'nigga': 1, 'kid': 3, 'god': 1, 'pimp': 1, 'hoes': 1}"
91,Keepin' it Gangsta (Remix),FABOLOUS,M,Street Dreams,, http://ohhla.com/anonymous/fabolous/street/kigremix.fab.txt,"{'nigga': 3, 'kill': 2, 'kid': 1, 'gangsta': 4, 'die': 2, 'dead': 2, 'black': 1, 'spit': 3, 'dirty': 1, 'dope': 1, 'joint': 1, 'ass': 4, 'fucked': 2, 'bitch': 2, 'smack': 1, 'horn': 1}"
92,Trade it All (Pt. 2),FABOLOUS,M,Street Dreams / Barbershop Soundtrack,, http://ohhla.com/anonymous/fabolous/street/tradept2.fab.txt,"{'playboy': 1, 'gangsta': 1}"
93,Now What,FABOLOUS,M,More Street Dreams: The Mixtape Pt. 2,, http://ohhla.com/anonymous/fabolous/mstreet2/now_what.fab.txt,"{'nigga': 1, 'bullshit': 1, 'fuck': 1, 'bitch': 1, 'bitches': 1, 'barf': 1, 'bigger': 1, 'harder': 1, 'fucka': 1}"
94,Now Ride,FABOLOUS,M,"More Street Dreams, Pt. 2",, http://ohhla.com/anonymous/fabolous/mstreet2/now_ride.fab.txt,"{'sick': 1, 'death': 1, 'hoes': 1, 'dope': 1}"
95,Think Y'all Know,FABOLOUS,M,More Street Dreams Pt. 2: The Mixtape,, http://ohhla.com/anonymous/fabolous/mstreet2/think_yk.fab.txt,"{'nigga': 5, 'titty': 1, 'kid': 1, 'bitch': 1, 'butt': 1, 'ass': 1, 'naked': 1, 'killer': 1, 'fucked': 1, 'fuck': 3, 'hoes': 2, 'blow': 1, 'devil': 1, 'dead': 1}"
96,Make U Mine,FABOLOUS,M,More Street Dreams Pt. 2: The Mixtape,, http://ohhla.com/anonymous/fabolous/mstreet2/make_u.fab.txt,"{'kid': 1, 'nigga': 1, 'pimp': 2, 'niggaz': 1, 'fuck': 1}"
97,Faboloso,FABOLOUS,M,More Street Dreams Pt. 2: The Mixtape,, http://ohhla.com/anonymous/fabolous/mstreet2/faboloso.fab.txt,"{'hoes': 1, 'nigga': 2, 'ass': 1}"
98,Fire Remix - Joe Budden,FABOLOUS,M,More Street Dreams Pt. 2: The Mixtape,, http://ohhla.com/anonymous/fabolous/mstreet2/fire_rmx.fab.txt,"{'niggaz': 1, 'damn': 2, 'burn': 1, 'fire': 6, 'sick': 2, 'shit': 1, 'gun': 1}"
